,Date,Close.x,Close.y,,,,,,,,,,,,,,,,,,,,,,
1,3/24/2014,99.59999847,33.31999969,,,,,,,,,,,,,,,,,,,,,,
2,3/25/2014,99.19000244,34.43000031,,,,,,,,,,,,,,,,,,,,,,
3,3/26/2014,100.2600021,33.95999908,,,,,,,,,,,,,,,,,,,,,,
4,3/27/2014,101.2799988,34.13000107,,,,,,,,,,,,,,,,,,,,,,
5,3/28/2014,101.6699982,33.52999878,,,,,,,,,,,,,,,,,,,,,,
6,3/31/2014,101.5800018,34.65000153,,,,,,,,,,,,,,,,,,,,,,
7,4/1/2014,99.73999786,35.75,,,,,,,,,,,,,,,,,,,,,,
8,4/2/2014,99.62000275,35.70000076,,,,,,,,,,,,,,,,,,,,,,
9,4/3/2014,100.2900009,35.36999893,,,,,,,,,,,,,,,,,,,,,,
10,4/4/2014,101.1399994,34.61000061,,,,,,,,,,,,,,,,,,,,,,
11,4/7/2014,100.4400024,33.99000168,,,,,,,,,,,,,,,,,,,,,,
12,4/8/2014,102.5599976,33.50999832,,,,,,,,,,,,,,,,,,,,,,
13,4/9/2014,103.5999985,34.72999954,,,,,,,,,,,,,,,,,,,,,,
14,4/10/2014,103.4000015,33.00999832,,,,,,,,,,,,,,,,,,,,,,
15,4/11/2014,103.7399979,32.52000046,,,,,,,,,,,,,,,,,,,,,,
16,4/14/2014,104.0500031,31.72999954,,,,,,,,,,,,,,,,,,,,,,
17,4/15/2014,103.75,31.90999985,,,,,,,,,,,,,,,,,,,,,,
18,4/16/2014,103.7600021,33.61999893,,,,,,,,,,,,,,,,,,,,,,
19,4/17/2014,104.3000031,33.75999832,,,,,,,,,,,,,,,,,,,,,,
20,4/21/2014,104.3700027,33.93999863,,,,,,,,,,,,,,,,,,,,,,
21,4/22/2014,102.1299973,34.95000076,,,,,,,,,,,,,,,,,,,,,,
22,4/23/2014,101.4400024,37.09000015,,,,,,,,,,,,,,,,,,,,,,
23,4/24/2014,101.9400024,36.72999954,,,,,,,,,,,,,,,,,,,,,,
24,4/25/2014,100.5999985,36.06999969,,,,,,,,,,,,,,,,,,,,,,
25,4/28/2014,100.8399963,35.84000015,,,,,,,,,,,,,,,,,,,,,,
26,4/29/2014,101.2799988,36.74000168,,,,,,,,,,,,,,,,,,,,,,
27,4/30/2014,99.73999786,36.83000183,,,,,,,,,,,,,,,,,,,,,,
28,5/1/2014,99.41999817,37.11999893,,,,,,,,,,,,,,,,,,,,,,
29,5/2/2014,99.76000214,37.22999954,,,,,,,,,,,,,,,,,,,,,,
30,5/5/2014,99.48000336,37.54999924,,,,,,,,,,,,,,,,,,,,,,
31,5/6/2014,99.5,37.68999863,,,,,,,,,,,,,,,,,,,,,,
32,5/7/2014,100.7699966,38.24000168,,,,,,,,,,,,,,,,,,,,,,
33,5/8/2014,100.2600021,37.70000076,,,,,,,,,,,,,,,,,,,,,,
34,5/9/2014,99.98999786,37.66999817,,,,,,,,,,,,,,,,,,,,,,
35,5/12/2014,100.5899963,38.65000153,,,,,,,,,,,,,,,,,,,,,,
